
Run: 1 Realtime: 0 Accel sens: 2 Gyro sens: 250

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
295193267,-0.447754,-0.171143,0.882324,1.991272,0.404358,1.098633,22.924805,25.268555,-4.174805
297693782,-0.446777,-0.172852,0.883057,1.487732,0.244141,1.091003,22.924805,25.268555,-4.174805
300274707,-0.447998,-0.174805,0.881836,1.693726,0.564575,1.129150,22.924805,25.268555,-4.174805
303273684,-0.445313,-0.178223,0.888916,1.838684,0.549316,0.953674,22.924805,25.268555,-4.174805
306826508,-0.442139,-0.177490,0.879395,1.258850,0.724792,1.068115,22.924805,25.268555,-4.174805
309770920,-0.444336,-0.173096,0.879883,1.571655,0.823975,0.869751,23.071289,24.975586,-4.028320
312781384,-0.447266,-0.177490,0.882324,1.487732,1.159668,0.976563,23.071289,24.975586,-4.028320
315824259,-0.451416,-0.178223,0.874268,1.701355,0.862122,0.869751,23.071289,24.975586,-4.028320
318897082,-0.452148,-0.177246,0.874268,1.686096,0.984192,0.770569,23.071289,24.975586,-4.028320
321834110,-0.456543,-0.178711,0.878662,1.396179,0.801086,0.991821,23.071289,24.975586,-4.028320
324788369,-0.452637,-0.181885,0.872559,1.480103,1.129150,0.953674,23.071289,24.975586,-4.028320
328001089,-0.454590,-0.178955,0.861328,1.403809,1.274109,0.686646,22.192383,24.975586,-4.028320
330788373,-0.451904,-0.182861,0.866455,1.556396,0.930786,0.854492,22.192383,24.975586,-4.028320
333788171,-0.452393,-0.180420,0.861816,1.419067,0.885010,0.816345,22.192383,24.975586,-4.028320
336341609,-0.450195,-0.182861,0.863281,1.434326,0.846863,0.869751,22.192383,24.975586,-4.028320
338872072,-0.455322,-0.186279,0.869629,1.556396,0.701904,1.228333,22.192383,24.975586,-4.028320
341901408,-0.455078,-0.183594,0.865967,1.373291,0.961304,0.953674,22.192383,24.975586,-4.028320
344840077,-0.457520,-0.184326,0.866455,1.235962,0.778198,1.091003,22.192383,24.975586,-4.028320
347386541,-0.451660,-0.182861,0.864502,1.464844,0.511169,1.052856,23.144531,24.755859,-4.101563
349886235,-0.455078,-0.184570,0.866455,1.487732,0.816345,1.197815,23.144531,24.755859,-4.101563
352385519,-0.453613,-0.185059,0.866455,1.266479,0.549316,1.167297,23.144531,24.755859,-4.101563
355397214,-0.457031,-0.185547,0.874512,1.335144,0.495911,1.129150,23.144531,24.755859,-4.101563
358394960,-0.460205,-0.183594,0.875244,1.380920,0.679016,1.098633,23.144531,24.755859,-4.101563
361398040,-0.456787,-0.184570,0.870850,1.541138,0.579834,0.953674,23.144531,24.755859,-4.101563
364405632,-0.458496,-0.182617,0.869385,1.640320,0.320435,1.205444,23.144531,24.755859,-4.101563
367400916,-0.456787,-0.182129,0.873779,1.525879,0.221252,1.235962,22.631836,24.682617,-3.881836
370420816,-0.455322,-0.186279,0.871826,1.716614,0.511169,0.930786,22.631836,24.682617,-3.881836
373414870,-0.447754,-0.180176,0.866455,1.640320,0.305176,0.915527,22.631836,24.682617,-3.881836
376426565,-0.449219,-0.184082,0.866211,1.724243,0.267029,0.915527,22.631836,24.682617,-3.881836
379438260,-0.449951,-0.182617,0.867432,1.541138,0.366211,0.816345,22.631836,24.682617,-3.881836
382468416,-0.447754,-0.186035,0.864014,1.831055,0.389099,0.740051,22.631836,24.682617,-3.881836
385032931,-0.446533,-0.181641,0.863037,2.136230,0.442505,0.724792,22.631836,24.682617,-3.881836
388007702,-0.442383,-0.187012,0.866699,1.922607,0.473022,0.900269,22.631836,24.975586,-4.174805
391014474,-0.446777,-0.186523,0.867432,1.739502,0.389099,0.694275,22.631836,24.975586,-4.174805
393967092,-0.444092,-0.186279,0.862061,2.037048,0.587463,0.724792,22.631836,24.975586,-4.174805
396556633,-0.442871,-0.184570,0.867188,2.128601,0.617981,0.732422,22.631836,24.975586,-4.174805
400007712,-0.444824,-0.184082,0.862305,2.326965,0.663757,0.907898,22.631836,24.975586,-4.174805
403097766,-0.445068,-0.182129,0.864746,2.342224,0.663757,0.854492,22.631836,24.975586,-4.174805
406091410,-0.445557,-0.183594,0.862549,2.189636,1.129150,0.747681,22.412109,24.316406,-4.248047
409014899,-0.448975,-0.182373,0.867920,2.464294,0.732422,0.732422,22.412109,24.316406,-4.248047
